a,あ,ア
i,い,イ
u,う,ウ
e,え,エ
o,お,オ
wha,うぁ,ウァ
whi,うぃ,ウィ
whu,う,ウ
whe,うぇ,ウェ
who,うぉ,ウォ
la,ぁ,ァ
li,ぃ,ィ
lu,ぅ,ゥ
le,ぇ,ェ
lo,ぉ,ォ
xa,ぁ,ァ
xi,ぃ,ィ
xu,ぅ,ゥ
xe,ぇ,ェ
xo,ぉ,ォ
ka,か,カ
ki,き,キ
ku,く,ク
ke,け,ケ
ko,こ,コ
kya,きゃ,キャ
kyi,きぃ,キィ
kyu,きゅ,キュ
kye,きぇ,キェ
kyo,きょ,キョ
kwa,くぁ,クァ
ka,か,カ
ki,し,シ
ku,く,ク
ke,せ,セ
ko,こ,コ
qa,くぁ,クァ
qi,くぃ,クィ
qe,くぇ,クェ
qo,くぉ,クォ
qya,くゃ,クャ
qyi,くぃ,クィ
qyu,くゅ,クュ
qye,くぇ,クェ
qyo,くょ,クョ
qwa,くぁ,クァ
qwi,くぃ,クィ
qwu,くぅ,クゥ
qwe,くぇ,クェ
qwo,くぉ,クォ
ga,が,ガ
gi,ぎ,ギ
gu,ぐ,グ
ge,げ,ゲ
go,こ,ゴ
gya,ぎゃ,ギャ
gyi,ぎぃ,ギィ
gyu,ぎゅ,ギュ
gye,ぎぇ,ギェ
gyo,ぎょ,ギョ
gwa,ぐぁ,グァ
gwi,ぐぃ,グィ
gwu,ぐぅ,グゥ
gwe,ぐぇ,グェ
gwo,ぐぉ,グォ
sa,さ,サ
si,し,シ
su,す,ス
se,せ,セ
so,そ,ソ
sya,しゃ,シャ
syi,しぃ,シィ
syu,しゅ,シュ
sye,しぇ,シェ
syo,しょ,ショ
sha,しゃ,シャ
shu,しゅ,シュ
she,しぇ,シェ
sho,しょ,ショ
swa,すぁ,スァ
swi,すぃ,スィ
swu,すぅ,スゥ
swe,すぇ,スェ
swo,すぉ,スォ
za,ざ,ザ
zi,じ,ジ
zu,ず,ズ
ze,ぜ,ゼ
zo,ぞ,ゾ
zya,じゃ,ジャ
zyi,じぃ,ジィ
zyu,じゅ,ジュ
zye,じぇ,ジェ
zyo,じょ,ジョ
ja,じゃ,ジャ
ju,じゅ,ジュ
je,じぇ,ジェ
jo,じょ,ジョ
jya,じゃ,ジャ
jyi,じぃ,ジィ
jyu,じゅ,ジュ
jye,じぇ,ジェ
jyo,じょ,ジョ
ta,た,タ
ti,ち,チ
tu,つ,ツ
te,て,テ
to,と,ト
tya,ちゃ,チャ
tyi,ちぃ,チィ
tyu,ちゅ,チュ
tye,ちぇ,チェ
tyo,ちょ,チョ
tyu,ちゅ,チュ
tye,ちぇ,チェ
tyo,ちょ,チョ
tya,ちゃ,チャ
tyi,ちぃ,チィ
tyu,ちゅ,チュ
tye,ちぇ,チェ
tyo,ちょ,チョ
tsa,つぁ,ツァ
tsi,つぃ,ツィ
tse,つぇ,ツェ
tso,つぉ,ツォ
tha,てゃ,テャ
thi,てぃ,ティ
thu,てゅ,テュ
the,てぇ,テェ
tho,てょ,テョ
twa,とぁ,トァ
twi,とぃ,トィ
twu,とぅ,トゥ
twe,とぇ,トェ
two,とぉ,トォ
da,だ,ダ
di,ぢ,ヂ
du,づ,ヅ
de,で,デ
do,ど,ド
dya,ぢゃ,ヂャ
dyi,ぢぃ,ヂィ
dyu,ぢゅ,ヂュ
dye,ぢぇ,ヂェ
dyo,ぢょ,ヂョ
dha,でゃ,デャ
dhi,でぃ,ディ
dhu,でゅ,デュ
dhe,でぇ,デェ
dho,でょ,デョ
dwa,どぁ,ドァ
dwi,どぃ,ドィ
dwu,どぅ,ドゥ
dwe,どぇ,ドェ
dwo,どぉ,ドォ
xtu,っ,ッ
na,な,ナ
ni,に,ニ
nu,ぬ,ヌ
ne,ね,ネ
no,の,ノ
nya,にゃ,ニャ
nyi,にぃ,ニィ
nyu,にゅ,ニュ
nye,にぇ,ニェ
nyo,にょ,ニョ
ha,は,ハ
hi,ひ,ヒ
hu,ふ,フ
he,へ,ヘ
ho,ほ,ホ
hya,ひゃ,ヒャ
hyi,ひぃ,ヒィ
hyu,ひゅ,ヒュ
hye,ひぇ,ヒェ
hyo,ひょ,ヒョ
fa,ふぁ,ファ
fi,ふぃ,フィ
fe,ふぇ,フェ
fo,ふぉ,フォ
fwa,ふぁ,ファ
fwi,ふぃ,フィ
fwu,ふぅ,フゥ
fwe,ふぇ,フェ
fwo,ふぉ,フォ
fya,ふゃ,フャ
fyi,ふぃ,フィ
fyu,ふゅ,フュ
fye,ふぇ,フェ
fyo,ふょ,フョ
ba,ば,バ
bi,び,ビ
bu,ぶ,ブ
be,べ,ベ
bo,ぼ,ボ
bya,びゃ,ビャ
byi,びぃ,ビィ
byu,びゅ,ビュ
bye,びぇ,ビェ
byo,びょ,ビョ
pa,ぱ,パ
pi,ぴ,ピ
pu,ぷ,プ
pe,ぺ,ペ
po,ぽ,ポ
pya,ぴゃ,ピャ
pyi,ぴぃ,ピィ
pyu,ぴゅ,ピュ
pye,ぴぇ,ピェ
pyo,ぴょ,ピョ
ma,ま,マ
mi,み,ミ
mu,む,ム
me,め,メ
mo,も,モ
mya,みゃ,ミャ
myi,みぃ,ミィ
myu,みゅ,ミュ
mye,みぇ,ミェ
myo,みょ,ミョ
ya,や,ヤ
yu,ゆ,ユ
ye,いぇ,イェ
yo,よ,ヨ
lya,ゃ,ャ
lyi,ぃ,ィ
lyu,ゅ,ュ
lye,ぇ,ェ
lyo,ょ,ョ
xya,ゃ,ャ
xyi,ぃ,ィ
xyu,ゅ,ュ
xye,ぇ,ェ
xyo,ょ,ョ
ra,ら,ラ
ri,り,リ
ru,る,ル
re,れ,レ
ro,ろ,ロ
wa,わ,ワ
wu,う,ウ
wo,を,ヲ
nn,ん,ン
